Dodge Caravan SE                        , Minivan        , None           , 21795, 20508, 2.400000, 3862 , 79    
Mazda MPV ES                            , Minivan        , None           , 28750, 26600, 3.000000, 3812 , 72    
Chrysler Town and Country LX            , Minivan        , None           , 27490, 25371, 3.300000, 4068 , 79    
Toyota Sienna CE                        , Minivan        , None           , 23495, 21198, 3.300000, 4120 , 77    
Toyota Sienna XLE Limited               , Minivan        , None           , 28800, 25690, 3.300000, 4165 , 77    
Chevrolet Venture LS                    , Minivan        , None           , 27020, 24518, 3.400000, 3699 , 72    
Oldsmobile Silhouette GL                , Minivan        , None           , 28790, 26120, 3.400000, 3948 , 72    
Pontiac Montana                         , Minivan        , None           , 23845, 21644, 3.400000, 3803 , 72    
Pontiac Montana EWB                     , Minivan        , AWD            , 31370, 28454, 3.400000, 4431 , 72    
Honda Odyssey EX                        , Minivan        , None           , 27450, 24744, 3.500000, 4365 , 76    
Honda Odyssey LX                        , Minivan        , None           , 24950, 22498, 3.500000, 4310 , 76    
Kia Sedona LX                           , Minivan        , None           , 20615, 19400, 3.500000, 4802 , 75    
Nissan Quest S                          , Minivan        , None           , 24780, 22958, 3.500000, 4012 , 78    
Nissan Quest SE                         , Minivan        , None           , 32780, 30019, 3.500000, 4175 , 78    
Chrysler Town and Country Limited       , Minivan        , None           , 38380, 35063, 3.800000, 4331 , 79    
Dodge Grand Caravan SXT                 , Minivan        , AWD            , 32660, 29812, 3.800000, 4440 , 79    
Ford Freestar SE                        , Minivan        , None           , 26930, 24498, 3.900000, 4275 , 77    
Mercury Monterey Luxury                 , Minivan        , None           , 33995, 30846, 4.200000, 4340 , 77    
Chevrolet Astro                         , Minivan        , AWD            , 26395, 23954, 4.300000, 4605 , 78    
